key,display,category,texture,fdc_id,protein_g,fat_g,carb_g,moisture_g,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,taurine_mg,kcal
chicken_breast,Chicken breast,protein,soft,2646170,22.525,1.934,0.0,74.78,3.939,214.9,26.2,65.75,330.1,18.0,106.034
chicken_thigh,Chicken thigh,protein,soft,173627,19.66,4.12,0.0,76.22,7.0,185.0,23.0,95.0,242.0,35.0,121.0
turkey_breast,Turkey breast,protein,soft,171098,23.66,1.48,0.14,74.89,11.0,201.0,28.0,113.0,242.0,30.0,114.0
turkey_thigh,Turkey thigh,protein,soft,171533,19.54,9.16,0.0,71.28,4.0,161.0,20.0,75.0,239.0,60.0,161.0
beef_lean,Lean ground beef,protein,soft,2514744,17.53125,19.44,0.0,62.82,6.889,144.4,16.41,54.94,273.3,36.0,242.61
pork_lean,Lean pork,protein,soft,168249,20.95,2.17,0.0,76.0,5.0,247.0,27.0,53.0,399.0,50.0,109.0
rabbit,Rabbit,protein,soft,172521,20.05,5.55,0.0,72.82,13.0,213.0,19.0,41.0,330.0,37.0,136.0
duck,Duck (no skin),protein,soft,172410,18.28,5.95,0.94,73.77,11.0,203.0,19.0,74.0,271.0,30.0,135.0
salmon,Salmon,protein,soft,173686,19.84,6.34,0.0,68.5,12.0,200.0,29.0,44.0,490.0,130.0,142.0
sardine,Sardine,protein,soft,175139,24.62,11.45,0.0,59.61,382.0,490.0,39.0,307.0,397.0,147.0,208.0
tuna_light,Light tuna,protein,soft,171986,25.51,0.82,0.0,75.21,11.0,163.0,27.0,50.0,237.0,70.0,116.0
cod,Cod,protein,soft,171955,17.81,0.67,0.0,81.22,16.0,203.0,32.0,54.0,413.0,31.0,82.0
chicken_liver,Chicken liver,organ,soft,171060,16.92,4.83,0.73,76.46,8.0,297.0,19.0,71.0,230.0,110.0,119.0
chicken_heart,Chicken heart,organ,medium,171458,15.55,9.33,0.71,73.56,12.0,177.0,15.0,74.0,176.0,118.0,153.0
beef_liver,Beef liver,organ,soft,169451,20.36,3.63,3.89,70.81,5.0,387.0,18.0,69.0,313.0,19.0,135.0
beef_kidney,Beef kidney,organ,soft,169449,17.4,3.09,0.29,77.89,13.0,257.0,17.0,182.0,262.0,22.0,99.0
egg_whole,Whole egg (cooked),protein,soft,173424,12.58,10.61,1.12,74.62,50.0,172.0,10.0,124.0,126.0,0.0,155.0
egg_yolk,Egg yolk,protein,soft,172184,15.86,26.54,3.59,52.31,129.0,390.0,5.0,48.0,109.0,0.0,322.0
white_rice,Cooked white rice,carb,soft,168930,2.38,0.21,28.59,68.61,3.0,37.0,13.0,0.0,29.0,0.0,130.0
oats,Cooked oats,carb,soft,168873,3.21,0.86,11.44,84.0,10.0,119.0,40.0,1.0,92.0,0.0,40.0
pumpkin,Cooked pumpkin,veg,soft,168449,0.72,0.07,4.9,93.69,15.0,30.0,9.0,1.0,230.0,0.0,20.0
sweet_potato,Cooked sweet potato,veg,soft,168483,2.01,0.15,20.71,75.78,38.0,54.0,27.0,36.0,475.0,0.0,90.0
carrot,Cooked carrot,veg,medium,170394,0.76,0.18,8.22,90.17,30.0,30.0,10.0,58.0,235.0,0.0,35.0
zucchini,Cooked zucchini,veg,soft,169292,1.14,0.36,2.69,95.22,18.0,37.0,19.0,3.0,264.0,0.0,15.0
salmon_oil,Salmon oil,fat,soft,172343,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.0
olive_oil,Olive oil,fat,soft,171413,0.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,884.0
taurine_powder,Taurine powder,supplement,soft,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
calcium_carb,Calcium carbonate,supplement,soft,0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
eggshell_powder,Eggshell powder,supplement,medium,0,4.0,0.0,0.0,0.0,38000.0,120.0,400.0,130.0,80.0,0.0,0.0
kelp_powder,Kelp powder,supplement,soft,0,1.7,0.6,9.6,6.0,168.0,42.0,121.0,233.0,89.0,0.0,43.0
brewers_yeast,Brewer's yeast,supplement,soft,0,38.8,1.8,41.2,6.0,30.0,1900.0,230.0,51.0,1888.0,0.0,295.0
